AA19 心脏移植
AB19 肝移植
AC19 胰／肾联合移植
AD19 胰腺移植
AE19 肾移植
AF19 肺移植
AG19 异体骨髓／造血干细胞移植
AG29 自体骨髓／造血干细胞移植
AH11 有创呼吸机支持≥96小时或ECMO或全人工心脏移植术，伴严重合并症或并发症
AH15 有创呼吸机支持≥96小时或ECMO或全人工心脏移植术，不伴严重合并症或并发症
BB11 脑创伤开颅术，伴严重合并症或并发症
BB15 脑创伤开颅术，不伴严重合并症或并发症
BB21 除创伤之外的其他开颅术，伴严重合并症或并发症
BB25 除创伤之外的其他开颅术，不伴严重合并症或并发症
BC13 伴出血诊断的颅内血管手术，伴合并症或并发症
BC15 伴出血诊断的颅内血管手术，不伴合并症或并发症
BC21 脑室分流及翻修手术，伴严重合并症或并发症
BC23 脑室分流及翻修手术，伴一般合并症或并发症
BC25 脑室分流及翻修手术，不伴合并症或并发症
BD19 脊髓手术
BD29 神经刺激器植入或去除术
BE13 颈及脑血管手术，伴合并症或并发症
BE15 颈及脑血管手术，不伴合并症或并发症
BE29 脑血管介入治疗
BJ11 神经系统其他手术，伴严重合并症或并发症
BJ13 神经系统其他手术，伴一般合并症或并发症
BJ15 神经系统其他手术，不伴合并症或并发症
BL19 脑血管病溶栓治疗
BM11 脑血管介入检查术，伴严重合并症或并发症
BM13 脑血管介入检查术，伴一般合并症或并发症
BM15 脑血管介入检查术，不伴合并症或并发症
BR11 颅内出血性疾患，伴严重合并症或并发症
BR15 颅内出血性疾患，不伴严重合并症或并发症
BR21 脑缺血性疾患，伴严重合并症或并发症
BR25 脑缺血性疾患，不伴严重合并症或并发症
BS11 非创伤性意识障碍，伴严重合并症或并发症
BS13 非创伤性意识障碍，伴一般合并症或并发症
BS15 非创伤性意识障碍，不伴合并症或并发症
BT11 病毒性脑、脊髓和脑膜炎，伴严重合并症或并发症
BT13 病毒性脑、脊髓和脑膜炎，伴一般合并症或并发症
BT15 病毒性脑、脊髓和脑膜炎，不伴合并症或并发症
BT21 神经系统的其他感染，伴严重合并症或并发症
BT23 神经系统的其他感染，伴一般合并症或并发症
BT25 神经系统的其他感染，不伴合并症或并发症
BU19 神经系统肿瘤
BU21 神经系统变性疾患，伴严重合并症或并发症
BU25 神经系统变性疾患，不伴严重合并症或并发症
BU31 中枢神经系统脱髓鞘病，伴严重合并症或并发症
BU33 中枢神经系统脱髓鞘病，伴一般合并症或并发症
BU35 中枢神经系统脱髓鞘病，不伴合并症或并发症
BV11 癫痫，伴严重合并症或并发症
BV13 癫痫，伴一般合并症或并发症
BV15 癫痫，不伴合并症或并发症
BV21 神经肌肉接头及肌肉病，伴严重合并症或并发症
BV23 神经肌肉接头及肌肉病，伴一般合并症或并发症
BV25 神经肌肉接头及肌肉病，不伴合并症或并发症
BV31 头痛，伴严重合并症或并发症
BV35 头痛，不伴严重合并症或并发症
BW13 神经系统先天性疾患，伴合并症或并发症
BW15 神经系统先天性疾患，不伴合并症或并发症
BW21 脑性瘫痪，伴严重合并症或并发症
BW23 脑性瘫痪，伴一般合并症或并发症
BW25 脑性瘫痪，不伴合并症或并发症
BX13 认知功能障碍，伴合并症或并发症
BX15 认知功能障碍，不伴合并症或并发症
BX29 脑神经／周围神经疾患
BY11 颅脑损伤，伴严重合并症或并发症
BY13 颅脑损伤，伴一般合并症或并发症
BY15 颅脑损伤，不伴合并症或并发症
BY21 脊髓伤病及功能障碍，伴严重合并症或并发症
BY23 脊髓伤病及功能障碍，伴一般合并症或并发症
BY25 脊髓伤病及功能障碍，不伴合并症或并发症
BZ11 神经系统其他疾患，伴严重合并症或并发症
BZ15 神经系统其他疾患，不伴严重合并症或并发症
CB11 玻璃体、视网膜、脉络膜手术，伴严重合并症或并发症
CB15 玻璃体、视网膜、脉络膜手术，不伴严重合并症或并发症
CB23 虹膜手术，伴合并症或并发症
CB25 虹膜手术，不伴合并症或并发症
CB31 晶体手术，伴严重合并症或并发症
CB35 晶体手术，不伴严重合并症或并发症
CB49 视网膜、虹膜及晶状体以外的内眼手术
CC13 角膜、巩膜、结膜手术，伴合并症或并发症
CC15 角膜、巩膜、结膜手术，不伴合并症或并发症
CD1A 除眼眶外的外眼手术，6岁及以下
CD1B 除眼眶外的外眼手术，6岁以上
CD23 眼眶手术，伴合并症或并发症
CD25 眼眶手术，不伴合并症或并发症
CJ13 其他眼部手术，伴合并症或并发症
CJ15 其他眼部手术，不伴合并症或并发症
CR19 眼部恶性肿瘤及交界性肿瘤
CS11 眼外肌、眼的神经及血管疾病，伴严重合并症或并发症
CS15 眼外肌、眼的神经及血管疾病，不伴严重合并症或并发症
CT11 前房出血及眼创伤的非手术治疗，伴严重合并症或并发症
CT15 前房出血及眼创伤的非手术治疗，不伴严重合并症或并发症
CU11 急性重大眼感染，伴严重合并症或并发症
CU15 急性重大眼感染，不伴严重合并症或并发症
CV19 各种类型青光眼
CW11 各种类型白内障，伴严重合并症或并发症
CW15 各种类型白内障，不伴严重合并症或并发症
CX11 其他疾患引起眼部病变，伴严重合并症或并发症
CX15 其他疾患引起眼部病变，不伴严重合并症或并发症
CZ11 其他眼部疾患，伴严重合并症或并发症
CZ15 其他眼部疾患，不伴严重合并症或并发症
DA11 头颈恶性肿瘤大手术，伴严重合并症或并发症
DA15 头颈恶性肿瘤大手术，不伴严重合并症或并发症
DB19 恶性肿瘤之外的头颈大手术
DB29 人工听觉装置植入
DB33 唇、腭裂修补术，伴合并症或并发症
DB35 唇、腭裂修补术，不伴合并症或并发症
DC19 中耳／内耳／侧颅底手术
DC29 耳部其他小手术
DD19 鼻成型术
DD21 鼻腔、鼻窦手术，伴严重合并症或并发症
DD25 鼻腔、鼻窦手术，不伴严重合并症或并发症
DE11 咽、喉、气管手术，伴严重合并症或并发症
DE13 咽、喉、气管手术，伴一般合并症或并发症
DE15 咽、喉、气管手术，不伴合并症或并发症
DE29 扁桃体和／或腺样体切除手术
DG13 腮腺及其他唾液腺手术，伴合并症或并发症
DG15 腮腺及其他唾液腺手术，不伴合并症或并发症
DG23 颅／面骨手术，伴合并症或并发症
DG25 颅／面骨手术，不伴合并症或并发症
DJ13 头、颈、耳、鼻、咽、口其他手术，伴合并症或并发症
DJ15 头、颈、耳、鼻、咽、口其他手术，不伴合并症或并发症
DK11 其他头、颈、耳、鼻、咽、口治疗操作，伴严重合并症或并发症
DK15 其他头、颈、耳、鼻、咽、口治疗操作，不伴严重合并症或并发症
DR19 头、颈、耳、鼻、咽、口恶性肿瘤
DS11 平衡失调及听觉障碍，伴严重合并症或并发症
DS15 平衡失调及听觉障碍，不伴严重合并症或并发症
DT11 中耳炎及上呼吸道感染，伴严重合并症或并发症
DT15 中耳炎及上呼吸道感染，不伴严重合并症或并发症
DT21 会厌炎、喉炎及气管炎，伴严重合并症或并发症
DT25 会厌炎、喉炎及气管炎，不伴严重合并症或并发症
DU11 头、颈、外耳、口鼻的创伤及变形，伴严重合并症或并发症
DU13 头、颈、外耳、口鼻的创伤及变形，伴一般合并症或并发症
DU15 头、颈、外耳、口鼻的创伤及变形，不伴合并症或并发症
DV19 头、颈、耳、鼻、咽、口非恶性增生性疾患
DW11 口腔、牙齿有关疾患，伴严重合并症或并发症
DW15 口腔、牙齿有关疾患，不伴严重合并症或并发症
DZ11 其他头、颈、耳、鼻、咽、口疾患，伴严重合并症或并发症
DZ15 其他头、颈、耳、鼻、咽、口疾患，不伴严重合并症或并发症
EB11 肺大手术，伴严重合并症或并发症
EB15 肺大手术，不伴严重合并症或并发症
EB21 肺其他手术，伴严重合并症或并发症
EB25 肺其他手术，不伴严重合并症或并发症
EC11 纵隔、气管、胸壁大手术，伴严重合并症或并发症
EC15 纵隔、气管、胸壁大手术，不伴严重合并症或并发症
EC29 纵隔、气管、胸壁其他手术
ED11 除肺、纵隔、气管、胸壁外的其他手术，伴严重合并症或并发症
ED13 除肺、纵隔、气管、胸壁外的其他手术，伴一般合并症或并发症
ED15 除肺、纵隔、气管、胸壁外的其他手术，不伴合并症或并发症
EJ11 呼吸系统其他手术，伴严重合并症或并发症
EJ13 呼吸系统其他手术，伴一般合并症或并发症
EJ15 呼吸系统其他手术，不伴合并症或并发症
ER11 呼吸系统肿瘤，伴严重合并症或并发症
ER15 呼吸系统肿瘤，不伴严重合并症或并发症
ER21 肺栓塞，伴严重合并症或并发症
ER25 肺栓塞，不伴严重合并症或并发症
ER39 肺水肿及呼吸衰竭
ES11 呼吸系统结核，伴严重合并症或并发症
ES13 呼吸系统结核，伴一般合并症或并发症
ES15 呼吸系统结核，不伴合并症或并发症
ES23 肺真菌病，伴合并症或并发症
ES25 肺真菌病，不伴合并症或并发症
ES31 呼吸系统感染／炎症，伴严重合并症或并发症
ES33 呼吸系统感染／炎症，伴一般合并症或并发症
ES35 呼吸系统感染／炎症，不伴合并症或并发症
ET13 肺间质性疾患，伴合并症或并发症
ET15 肺间质性疾患，不伴合并症或并发症
