AA19 心脏移植
AB19 肝移植
AC19 胰／肾联合移植
AD19 胰腺移植
AE19 肾移植
AF19 肺移植
AG19 异体骨髓／造血干细胞移植
AG29 自体骨髓／造血干细胞移植
AH19 气管切开伴呼吸机支持≥96小时或ECMO
BB11 脑创伤开颅术伴严重合并症或并发症
BB13 脑创伤开颅术伴合并症或并发症
BB15 脑创伤开颅术不伴合并症或并发症
BB21 除创伤之外的其他开颅术伴严重合并症或并发症
BB23 除创伤之外的其他开颅术伴合并症或并发症
BB25 除创伤之外的其他开颅术不伴合并症或并发症
BC19 伴出血诊断的颅内血管手术
BC29 脑室分流及翻修手术
BD11 脊髓手术伴严重合并症或并发症
BD13 脊髓手术伴合并症或并发症
BD15 脊髓手术不伴合并症或并发症
BD29 神经刺激器植入或去除术
BE19 颈及脑血管手术
BE29 脑血管介入治疗
BJ11 神经系统其他手术伴严重合并症或并发症
BJ13 神经系统其他手术伴合并症或并发症
BJ15 神经系统其他手术不伴合并症或并发症
BL19 脑血管病溶栓治疗
BM19 脑血管介入检查术
BR11 颅内出血性疾患伴严重合并症或并发症
BR13 颅内出血性疾患伴合并症或并发症
BR15 颅内出血性疾患不伴合并症或并发症
BR21 脑缺血性疾患伴严重合并症或并发症
BR23 脑缺血性疾患伴合并症或并发症
BR25 脑缺血性疾患不伴合并症或并发症
BS11 非创伤性意识障碍伴严重合并症或并发症
BS13 非创伤性意识障碍伴合并症或并发症
BS15 非创伤性意识障碍不伴合并症或并发症
BT11 病毒性脑、脊髓和脑膜炎伴严重合并症或并发症
BT13 病毒性脑、脊髓和脑膜炎伴合并症或并发症
BT15 病毒性脑、脊髓和脑膜炎不伴合并症或并发症
BT21 神经系统的其他感染伴严重合并症或并发症
BT23 神经系统的其他感染伴合并症或并发症
BT25 神经系统的其他感染不伴合并症或并发症
BU11 神经系统肿瘤伴严重合并症或并发症
BU13 神经系统肿瘤伴合并症或并发症
BU15 神经系统肿瘤不伴合并症或并发症
BU21 神经系统变性疾患伴严重合并症或并发症
BU23 神经系统变性疾患伴合并症或并发症
BU25 神经系统变性疾患不伴合并症或并发症
BU39 脱髓鞘病及小脑共济失调
BV11 癫痫病伴严重合并症或并发症
BV13 癫痫病伴合并症或并发症
BV15 癫痫病不伴合并症或并发症
BV21 神经源性肌肉病伴严重合并症或并发症
BV23 神经源性肌肉病伴合并症或并发症
BV25 神经源性肌肉病不伴合并症或并发症
BV39 头痛
BW11 神经系统先天性疾患伴严重合并症或并发症
BW13 神经系统先天性疾患伴合并症或并发症
BW15 神经系统先天性疾患不伴合并症或并发症
BW21 脑性麻痹伴严重合并症或并发症
BW23 脑性麻痹伴合并症或并发症
BW25 脑性麻痹不伴合并症或并发症
BX11 大脑功能失调伴严重合并症或并发症
BX13 大脑功能失调伴合并症或并发症
BX15 大脑功能失调不伴合并症或并发症
BX21 颅神经／周围神经疾患伴严重合并症或并发症
BX23 颅神经／周围神经疾患伴合并症或并发症
BX25 颅神经／周围神经疾患不伴合并症或并发症
BY11 颅脑开放性损伤伴严重合并症或并发症
BY13 颅脑开放性损伤伴合并症或并发症
BY15 颅脑开放性损伤不伴合并症或并发症
BY21 颅脑闭合性损伤伴严重合并症或并发症
BY23 颅脑闭合性损伤伴合并症或并发症
BY25 颅脑闭合性损伤不伴合并症或并发症
BY31 脊髓伤病及功能障碍伴严重合并症或并发症
BY33 脊髓伤病及功能障碍伴合并症或并发症
BY35 脊髓伤病及功能障碍不伴合并症或并发症
BZ11 神经系统其他疾患伴严重合并症或并发症
BZ13 神经系统其他疾患伴合并症或并发症
BZ15 神经系统其他疾患不伴合并症或并发症
CB19 玻璃体、视网膜手术
CB29 虹膜手术
CB39 晶体手术
CB49 视网膜、虹膜及晶状体以外的内眼手术
CC19 角膜、巩膜、结膜手术
CD19 眼眶手术
CD29 除眼眶外的外眼手术
CJ19 其他眼部手术
CR11 眼部恶性肿瘤及交界性肿瘤伴严重合并症或并发症
CR13 眼部恶性肿瘤及交界性肿瘤伴合并症或并发症
CR15 眼部恶性肿瘤及交界性肿瘤不伴合并症或并发症
CS19 眼的神经及血管疾患
CT11 前房出血及眼创伤的非手术治疗伴严重合并症或并发症
CT13 前房出血及眼创伤的非手术治疗伴合并症或并发症
CT15 前房出血及眼创伤的非手术治疗不伴合并症或并发症
CU19 急性重大眼感染
CV11 各种类型青光眼伴严重合并症或并发症
CV13 各种类型青光眼伴合并症或并发症
CV15 各种类型青光眼不伴合并症或并发症
CW19 各种类型白内障
CX19 其他疾患引起眼部病变
CZ11 其他眼部疾患伴严重合并症或并发症
CZ13 其他眼部疾患伴合并症或并发症
CZ15 其他眼部疾患不伴合并症或并发症
DA19 头颈恶性肿瘤大手术
DB19 恶性肿瘤之外的头颈大手术
DB21 人工听觉装置植入伴严重合并症或并发症
DB23 人工听觉装置植入伴合并症或并发症
DB25 人工听觉装置植入不伴合并症或并发症
DC19 中耳／内耳／侧颅底手术
DC21 耳部其他小手术伴严重合并症或并发症
DC23 耳部其他小手术伴合并症或并发症
DC25 耳部其他小手术不伴合并症或并发症
DD19 鼻成型术
DD29 鼻腔、鼻窦手术
DE19 咽、喉、气管手术
DE29 扁桃体和／或腺样体切除手术
DG19 腮腺及其他唾液腺手术
DG21 颅／面骨手术伴严重合并症或并发症
DG23 颅／面骨手术伴合并症或并发症
DG25 颅／面骨手术不伴合并症或并发症
DG39 唇、腭裂修补术
DJ19 头颈、耳、鼻、咽、口其他手术
DK19 其他头颈、耳、鼻、咽、口治疗操作
DR11 头颈、耳、鼻、咽、口恶性肿瘤伴严重合并症或并发症
DR13 头颈、耳、鼻、咽、口恶性肿瘤伴合并症或并发症
DR15 头颈、耳、鼻、咽、口恶性肿瘤不伴合并症或并发症
DS19 平衡失调及听觉障碍
DT19 中耳炎及上呼吸道感染
DT29 会厌炎、喉炎及气管炎
DU11 头颈、外耳、口、鼻的创伤及变形伴严重合并症或并发症
DU13 头颈、外耳、口、鼻的创伤及变形伴合并症或并发症
DU15 头颈、外耳、口、鼻的创伤及变形不伴合并症或并发症
DV19 头颈、耳、鼻、咽、口非恶性增生性疾患
DW11 口腔、牙齿有关疾患伴严重合并症或并发症
DW13 口腔、牙齿有关疾患伴合并症或并发症
DW15 口腔、牙齿有关疾患不伴合并症或并发症
DZ11 其他头颈、耳、鼻、咽、口疾患伴严重合并症或并发症
DZ13 其他头颈、耳、鼻、咽、口疾患伴合并症或并发症
DZ15 其他头颈、耳、鼻、咽、口疾患不伴合并症或并发症
EB19 胸部大手术
EC19 纵隔手术
ED11 胸部其他手术伴严重合并症或并发症
ED13 胸部其他手术伴合并症或并发症
ED15 胸部其他手术不伴合并症或并发症
EJ11 呼吸系统其他手术伴严重合并症或并发症
EJ13 呼吸系统其他手术伴合并症或并发症
EJ15 呼吸系统其他手术不伴合并症或并发症
ER11 呼吸系统肿瘤伴严重合并症或并发症
ER13 呼吸系统肿瘤伴合并症或并发症
ER15 呼吸系统肿瘤不伴合并症或并发症
ER21 肺栓塞伴严重合并症或并发症
ER23 肺栓塞伴合并症或并发症
ER25 肺栓塞不伴合并症或并发症
ER31 肺水肿及呼吸衰竭伴严重合并症或并发症
ER33 肺水肿及呼吸衰竭伴合并症或并发症
ER35 肺水肿及呼吸衰竭不伴合并症或并发症
ES11 呼吸系统结核伴严重合并症或并发症
ES13 呼吸系统结核伴合并症或并发症
ES15 呼吸系统结核不伴合并症或并发症
ES21 呼吸系统感染／炎症伴严重合并症或并发症
ES23 呼吸系统感染／炎症伴合并症或并发症
ES25 呼吸系统感染／炎症不伴合并症或并发症
ET11 肺间质性疾患伴严重合并症或并发症
ET13 肺间质性疾患伴合并症或并发症
ET15 肺间质性疾患不伴合并症或并发症
ET21 慢性气道阻塞病伴严重合并症或并发症
ET23 慢性气道阻塞病伴合并症或并发症
ET25 慢性气道阻塞病不伴合并症或并发症
EU19 重大胸部创伤
EV11 呼吸系统症状、体征伴严重合并症或并发症
EV13 呼吸系统症状、体征伴合并症或并发症
EV15 呼吸系统症状、体征不伴合并症或并发症
EW11 胸膜病变及胸腔积液伴严重合并症或并发症
EW13 胸膜病变及胸腔积液伴合并症或并发症
EW15 胸膜病变及胸腔积液不伴合并症或并发症
EX11 哮喘及喘息性支气管炎伴严重合并症或并发症
EX13 哮喘及喘息性支气管炎伴合并症或并发症
EX15 哮喘及喘息性支气管炎不伴合并症或并发症
EX21 百日咳及急性支气管炎伴严重合并症或并发症
EX23 百日咳及急性支气管炎伴合并症或并发症
EX25 百日咳及急性支气管炎不伴合并症或并发症
EZ11 其他呼吸系统疾患伴严重合并症或并发症
EZ13 其他呼吸系统疾患伴合并症或并发症
EZ15 其他呼吸系统疾患不伴合并症或并发症
FB19 心脏辅助系统植入
FB29 心脏瓣膜手术伴心导管操作
FB39 心脏瓣膜手术
FC19 冠状动脉搭桥伴PTCA
FC29 冠状动脉搭桥伴心导管操作
