AA19 心脏移植
AB19 肝移植
AC19 胰/肾联合移植
AD19 胰腺移植
AE19 肾移植
AF19 肺移植
AG19 异体骨髓／造血干细胞移植
AG29 自体骨髓／造血干细胞移植
AH19 气管切开伴呼吸机支持≥96小时或ECMO
BB19 脑创伤开颅术
BB29 除创伤之外的其他开颅术
BC19 伴出血诊断的颅内血管手术
BC29 脑室分流及翻修手术
BD19 脊髓手术
BD29 神经刺激器植入或去除术
BE19 颈及脑血管手术
BE29 脑血管介入治疗
BJ11 神经系统其他手术，伴严重并发症或合并症
BJ13 神经系统其他手术，伴并发症或合并症
BJ15 神经系统其他手术，不伴并发症或合并症
BL19 脑血管病溶栓治疗
BM19 脑血管介入检查术
BR11 颅内出血性疾患，伴严重并发症或合并症
BR13 颅内出血性疾患，伴并发症或合并症
BR15 颅内出血性疾患，不伴并发症或合并症
BR29 脑缺血性疾患
BS11 非创伤性意识障碍，伴严重并发症或合并症
BS13 非创伤性意识障碍，伴并发症或合并症
BS15 非创伤性意识障碍，不伴并发症或合并症
BT11 病毒性脑、脊髓和脑膜炎，伴严重并发症或合并症
BT13 病毒性脑、脊髓和脑膜炎，伴并发症或合并症
BT15 病毒性脑、脊髓和脑膜炎，不伴并发症或合并症
BT21 神经系统的其他感染，伴严重并发症或合并症
BT23 神经系统的其他感染，伴并发症或合并症
BT25 神经系统的其他感染，不伴并发症或合并症
BU11 神经系统肿瘤，伴严重并发症或合并症
BU13 神经系统肿瘤，伴并发症或合并症
BU15 神经系统肿瘤，不伴并发症或合并症
BU29 神经系统变性疾患
BU39 脱髓鞘病及小脑共济失调
BV11 癫痫病，伴严重并发症或合并症
BV13 癫痫病，伴并发症或合并症
BV15 癫痫病，不伴并发症或合并症
BV29 神经源性肌肉病
BV39 头痛
BW11 神经系统先天性疾患，伴严重并发症或合并症
BW13 神经系统先天性疾患，伴并发症或合并症
BW15 神经系统先天性疾患，不伴并发症或合并症
BW29 脑性麻痹
BX19 大脑功能失调
BX29 颅神经/周围神经疾患
BY11 颅脑开放性损伤，伴严重并发症或合并症
BY13 颅脑开放性损伤，伴并发症或合并症
BY15 颅脑开放性损伤，不伴并发症或合并症
BY21 颅脑闭合性损伤，伴严重并发症或合并症
BY23 颅脑闭合性损伤，伴并发症或合并症
BY25 颅脑闭合性损伤，不伴并发症或合并症
BY31 脊髓伤病及功能障碍，伴严重并发症或合并症
BY33 脊髓伤病及功能障碍，伴并发症或合并症
BY35 脊髓伤病及功能障碍，不伴并发症或合并症
BZ11 神经系统其他疾患，伴严重并发症或合并症
BZ13 神经系统其他疾患，伴并发症或合并症
BZ15 神经系统其他疾患，不伴并发症或合并症
CB19 玻璃体、视网膜手术
CB29 虹膜手术
CB39 晶体手术
CB49 视网膜、虹膜及晶状体以外的内眼手术
CC19 角膜、巩膜、结膜手术
CD19 眼眶手术
CD29 除眼眶外的外眼手术
CJ19 其他眼部手术
CR11 眼部恶性肿瘤及交界性肿瘤，伴严重并发症或合并症
CR13 眼部恶性肿瘤及交界性肿瘤，伴并发症或合并症
CR15 眼部恶性肿瘤及交界性肿瘤，不伴并发症或合并症
CS19 眼的神经及血管疾患
CT11 前房出血及眼创伤的非手术治疗，伴严重并发症或合并症
CT13 前房出血及眼创伤的非手术治疗，伴并发症或合并症
CT15 前房出血及眼创伤的非手术治疗，不伴并发症或合并症
CU19 急性重大眼感染
CV11 各种类型青光眼，伴严重并发症或合并症
CV13 各种类型青光眼，伴并发症或合并症
CV15 各种类型青光眼，不伴并发症或合并症
CW19 各种类型白内障
CX19 其他疾患引起眼部病变
CZ11 其他眼部疾患，伴严重并发症或合并症
CZ13 其他眼部疾患，伴并发症或合并症
CZ15 其他眼部疾患，不伴并发症或合并症
DA19 头颈恶性肿瘤大手术
DB19 恶性肿瘤之外的头颈大手术
DB21 人工听觉装置植入，伴严重并发症或合并症
DB23 人工听觉装置植入，伴并发症或合并症
DB25 人工听觉装置植入，不伴并发症或合并症
DC19 中耳/内耳/侧颅底手术
DC21 耳部其他小手术，伴严重并发症或合并症
DC23 耳部其他小手术，伴并发症或合并症
DC25 耳部其他小手术，不伴并发症或合并症
DD19 鼻成型术
DD29 鼻腔、鼻窦手术
DE19 咽、喉、气管手术
DE29 扁桃体和/或腺体样切除手术
DG19 腮腺及其他唾液腺手术
DG21 颅/面骨手术，伴严重并发症或合并症
DG23 颅/面骨手术，伴并发症或合并症
DG25 颅/面骨手术，不伴并发症或合并症
DG39 唇、腭裂修补术
DJ19 头颈、耳、鼻、咽、口其他手术
DK19 其他头、颈、耳、鼻、咽、口治疗操作
DR11 头、颈、耳、鼻、咽、口恶性肿瘤，伴严重并发症或合并症
DR13 头、颈、耳、鼻、咽、口恶性肿瘤，伴并发症或合并症
DR15 头、颈、耳、鼻、咽、口恶性肿瘤，不伴并发症或合并症
DS19 平衡失调及听觉障碍
DT19 中耳炎及上呼吸道感染
DT29 会厌炎、喉炎及气管炎
DU11 头、颈、外耳、口鼻的创伤及变形，伴严重并发症或合并症
DU13 头、颈、外耳、口鼻的创伤及变形，伴并发症或合并症
DU15 头、颈、外耳、口鼻的创伤及变形，不伴并发症或合并症
DV19 头、颈、耳、鼻、咽、口非恶性增生性疾患
DW11 口腔、牙齿有关疾患，伴严重并发症或合并症
DW13 口腔、牙齿有关疾患，伴并发症或合并症
DW15 口腔、牙齿有关疾患，不伴并发症或合并症
DZ11 其他头、颈、耳、鼻、咽、口疾患，伴严重并发症或合并症
DZ13 其他头、颈、耳、鼻、咽、口疾患，伴并发症或合并症
DZ15 其他头、颈、耳、鼻、咽、口疾患，不伴并发症或合并症
EB19 胸部大手术
EC19 纵隔手术
ED19 胸部其他手术
EJ19 呼吸系统其他手术
ER11 呼吸系统肿瘤，伴严重并发症或合并症
ER13 呼吸系统肿瘤，伴并发症或合并症
ER15 呼吸系统肿瘤，不伴并发症或合并症
ER29 肺栓塞
ER31 肺水肿及呼吸衰竭，伴严重并发症或合并症
ER33 肺水肿及呼吸衰竭，伴并发症或合并症
ER35 肺水肿及呼吸衰竭，不伴并发症或合并症
ES19 呼吸系统结核
ES29 呼吸系统感染/炎症
ET19 肺间质性疾患
ET29 慢性气道阻塞病
EU19 重大胸部创伤
EV19 呼吸系统症状、体征
EW19 胸膜病变及胸腔积液
EX19 哮喘及喘息性支气管炎
EX29 百日咳及急性支气管炎
EZ19 其他呼吸系统疾患
FB19 心脏辅助系统植入
FB29 心脏瓣膜手术伴心导管操作
FB39 心脏瓣膜手术
FC19 冠状动脉搭桥伴PTCA
FC29 冠状动脉搭桥伴心导管操作
FC39 冠状动脉搭桥
FD19 先天性心脏病复杂手术
FD29 先天性心脏病常规手术
FD39 先天性心脏病介入治疗
FE19 主动脉手术
FF11 外周动脉人工/自体血管置换/搭桥手术，伴严重并发症或合并症
FF13 外周动脉人工/自体血管置换/搭桥手术，伴并发症或合并症
FF15 外周动脉人工/自体血管置换/搭桥手术，不伴并发症或合并症
FF21 外周动脉其他手术，伴严重并发症或合并症
FF23 外周动脉其他手术，伴并发症或合并症
FF25 外周动脉其他手术，不伴并发症或合并症
FF39 静脉系统复杂手术
FF49 静脉系统常规手术
FJ19 循环系统其他手术
FK19 永久性起搏器植入
FK29 心脏起搏器置换或更新
FK39 心脏除颤器植入或更新
FL19 经皮心脏消融术伴房颤和/或房扑
FL29 经皮心脏消融术除房扑、房颤外其他心律失常
FM19 经皮冠状动脉支架植入
FM29 其他经皮心血管治疗
FM39 经皮心导管检查操作
FN11 外周动脉经皮血管内检查和/或治疗，伴严重并发症或合并症
FN13 外周动脉经皮血管内检查和/或治疗，伴并发症或合并症
FN15 外周动脉经皮血管内检查和/或治疗，不伴并发症或合并症
FN21 外周静脉经皮血管内检查和/或治疗，伴严重并发症或合并症
FN23 外周静脉经皮血管内检查和/或治疗，伴并发症或合并症
FN25 外周静脉经皮血管内检查和/或治疗，不伴并发症或合并症
FR19 心力衰竭、休克
FR21 急性心肌梗死，伴严重并发症或合并症
FR23 急性心肌梗死，伴并发症或合并症
FR25 急性心肌梗死，不伴并发症或合并症
FR39 心绞痛
FR49 冠状动脉粥样硬化/血栓/闭塞
FS11 循环系统肿瘤，伴严重并发症或合并症
FS13 循环系统肿瘤，伴并发症或合并症
FS15 循环系统肿瘤，不伴并发症或合并症
FT19 心肌病
FT21 感染性心内膜炎，伴严重并发症或合并症
FT23 感染性心内膜炎，伴并发症或合并症
FT25 感染性心内膜炎，不伴并发症或合并症
FT39 瓣膜疾患
FU11 严重心律失常及心脏停搏，伴严重并发症或合并症
FU13 严重心律失常及心脏停搏，伴并发症或合并症
FU15 严重心律失常及心脏停搏，不伴并发症或合并症
FU29 心律失常及传导障碍
FV11 先天性心脏病，伴严重并发症或合并症
FV13 先天性心脏病，伴并发症或合并症
FV15 先天性心脏病，不伴并发症或合并症
FV29 高血压
FV39 晕厥及/或虚脱
FV49 胸痛
