AA19 心脏移植
AB19 肝移植
AC19 胰/肾联合移植
AD19 胰腺移植
AE19 肾移植
AF19 肺移植
AG19 异体骨髓/造血干细胞移植
AG29 自体骨髓/造血干细胞移植
AH19 有创呼吸机支持≥96小时或ECMO或全人工心脏移植术
BB11 脑创伤开颅术，伴有严重并发症或合并症
BB13 脑创伤开颅术，伴有并发症或合并症
BB15 脑创伤开颅术，不伴并发症或合并症
BB2A 除创伤之外的其他开颅术，伴严重或一般并发症与合并症
BB25 除创伤之外的其他开颅术，不伴并发症或合并症
BC19 伴出血诊断的颅内血管手术
BC2A 脑室分流及翻修手术，伴严重或一般并发症与合并症
BC25 脑室分流及翻修手术，不伴并发症或合并症
BD19 脊髓手术
BD29 神经刺激器植入或去除术
BE19 颈及脑血管手术
BE29 脑血管介入治疗
BJ1A 神经系统其他手术，伴严重或一般并发症与合并症
BJ15 神经系统其他手术，不伴并发症或合并症
BL19 脑血管病溶栓治疗
BM11 脑血管介入检查术，伴有严重并发症或合并症
BM1B 脑血管介入检查术，不伴严重并发症与合并症
BR1A 颅内出血性疾患，伴严重或一般并发症与合并症
BR15 颅内出血性疾患，不伴并发症或合并症
BR2A 脑缺血性疾患，伴严重或一般并发症与合并症
BR25 脑缺血性疾患，不伴并发症或合并症
BS11 非创伤性意识障碍，伴有严重并发症或合并症
BS13 非创伤性意识障碍，伴有并发症或合并症
BS15 非创伤性意识障碍，不伴并发症或合并症
BT19 病毒性脑、脊髓和脑膜炎
BT21 神经系统的其他感染，伴有严重并发症或合并症
BT23 神经系统的其他感染，伴有并发症或合并症
BT25 神经系统的其他感染，不伴并发症或合并症
BU11 神经系统肿瘤，伴有严重并发症或合并症
BU13 神经系统肿瘤，伴有并发症或合并症
BU15 神经系统肿瘤，不伴并发症或合并症
BU21 神经系统变性疾患，伴有严重并发症或合并症
BU2B 神经系统变性疾患，不伴严重并发症与合并症
BU39 中枢神经系统脱髓鞘病
BV11 癫痫，伴有严重并发症或合并症
BV13 癫痫，伴有并发症或合并症
BV15 癫痫，不伴并发症或合并症
BV2A 神经肌肉接头及肌肉病，伴严重或一般并发症与合并症
BV25 神经肌肉接头及肌肉病，不伴并发症或合并症
BV3A 头痛，伴严重或一般并发症与合并症
BV35 头痛，不伴并发症或合并症
BW19 神经系统先天性疾患
BW2A 脑性瘫痪，伴严重或一般并发症与合并症
BW25 脑性瘫痪，不伴并发症或合并症
BX11 认知功能障碍，伴有严重并发症或合并症
BX1B 认知功能障碍，不伴严重并发症与合并症
BX29 脑神经/周围神经疾患
BY11 颅脑损伤，伴有严重并发症或合并症
BY13 颅脑损伤，伴有并发症或合并症
BY15 颅脑损伤，不伴并发症或合并症
BY21 脊髓伤病及功能障碍，伴有严重并发症或合并症
BY23 脊髓伤病及功能障碍，伴有并发症或合并症
BY25 脊髓伤病及功能障碍，不伴并发症或合并症
BZ11 神经系统其他疾患，伴有严重并发症或合并症
BZ13 神经系统其他疾患，伴有并发症或合并症
BZ15 神经系统其他疾患，不伴并发症或合并症
CB19 玻璃体、视网膜、脉络膜手术
CB29 虹膜手术
CB39 晶体手术
CB49 视网膜、虹膜及晶状体以外的内眼手术
CC1A 角膜、巩膜、结膜手术，伴严重或一般并发症与合并症
CC15 角膜、巩膜、结膜手术，不伴并发症或合并症
CD19 除眼眶外的外眼手术
CD29 眼眶手术
CJ19 其他眼部手术
CR19 眼部恶性肿瘤及交界性肿瘤
CS1A 眼外肌、眼的神经及血管疾病，伴严重或一般并发症与合并症
CS15 眼外肌、眼的神经及血管疾病，不伴并发症或合并症
CT1A 前房出血及眼创伤的非手术治疗，伴严重或一般并发症与合并症
CT15 前房出血及眼创伤的非手术治疗，不伴并发症或合并症
CU1A 急性重大眼感染，伴严重或一般并发症与合并症
CU15 急性重大眼感染，不伴并发症或合并症
CV19 各种类型青光眼
CW19 各种类型白内障
CX19 其他疾患引起眼部病变
CZ1A 其他眼部疾患，伴严重或一般并发症与合并症
CZ15 其他眼部疾患，不伴并发症或合并症
DA19 头颈恶性肿瘤大手术
DB19 恶性肿瘤之外的头颈大手术
DB29 人工听觉装置植入
DB39 唇、腭裂修补术
DC19 中耳/内耳/侧颅底手术
DC29 耳部其他小手术
DD19 鼻成型术
DD29 鼻腔、鼻窦手术
DE1A 咽、喉、气管手术，伴严重或一般并发症与合并症
DE15 咽、喉、气管手术，不伴并发症或合并症
DE29 扁桃体和/或腺样体切除手术
DG19 腮腺及其他唾液腺手术
DG29 颅/面骨手术
DJ19 头、颈、耳、鼻、咽、口其他手术
DK19 其他头、颈、耳、鼻、咽、口治疗操作
DR11 头、颈、耳、鼻、咽、口恶性肿瘤，伴有严重并发症或合并症
DR1B 头、颈、耳、鼻、咽、口恶性肿瘤，不伴严重并发症与合并症
DS1A 平衡失调及听觉障碍，伴严重或一般并发症与合并症
DS15 平衡失调及听觉障碍，不伴并发症或合并症
DT1A 中耳炎及上呼吸道感染，伴严重或一般并发症与合并症
DT15 中耳炎及上呼吸道感染，不伴并发症或合并症
DT2A 会厌炎、喉炎及气管炎，伴严重或一般并发症与合并症
DT25 会厌炎、喉炎及气管炎，不伴并发症或合并症
DU11 头、颈、外耳、口鼻的创伤及变形，伴有严重并发症或合并症
DU13 头、颈、外耳、口鼻的创伤及变形，伴有并发症或合并症
DU15 头、颈、外耳、口鼻的创伤及变形，不伴并发症或合并症
DV19 头、颈、耳、鼻、咽、口非恶性增生性疾患
DW1A 口腔、牙齿有关疾患，伴严重或一般并发症与合并症
DW15 口腔、牙齿有关疾患，不伴并发症或合并症
DZ11 其他头、颈、耳、鼻、咽、口疾患，伴有严重并发症或合并症
DZ13 其他头、颈、耳、鼻、咽、口疾患，伴有并发症或合并症
DZ15 其他头、颈、耳、鼻、咽、口疾患，不伴并发症或合并症
EB19 肺大手术
EB29 肺其他手术
EC19 纵隔、气管、胸壁大手术
EC29 纵隔、气管、胸壁其他手术
ED11 除肺、纵隔、气管、胸壁外的其他手术，伴有严重并发症或合并症
ED13 除肺、纵隔、气管、胸壁外的其他手术，伴有并发症或合并症
ED15 除肺、纵隔、气管、胸壁外的其他手术，不伴并发症或合并症
EJ11 呼吸系统其他手术，伴有严重并发症或合并症
EJ13 呼吸系统其他手术，伴有并发症或合并症
EJ15 呼吸系统其他手术，不伴并发症或合并症
ER11 呼吸系统肿瘤，伴有严重并发症或合并症
ER13 呼吸系统肿瘤，伴有并发症或合并症
ER15 呼吸系统肿瘤，不伴并发症或合并症
ER21 肺栓塞，伴有严重并发症或合并症
ER23 肺栓塞，伴有并发症或合并症
ER25 肺栓塞，不伴并发症或合并症
ER3A 肺水肿及呼吸衰竭，伴严重或一般并发症与合并症
ER35 肺水肿及呼吸衰竭，不伴并发症或合并症
ES19 呼吸系统结核
ES2A 肺真菌病，伴严重或一般并发症与合并症
ES25 肺真菌病，不伴并发症或合并症
ES31 呼吸系统感染/炎症，伴有严重并发症或合并症
ES33 呼吸系统感染/炎症，伴有并发症或合并症
ES35 呼吸系统感染/炎症，不伴并发症或合并症
ET1A 肺间质性疾患，伴严重或一般并发症与合并症
ET15 肺间质性疾患，不伴并发症或合并症
ET21 慢性气道阻塞病，伴有严重并发症或合并症
ET23 慢性气道阻塞病，伴有并发症或合并症
ET25 慢性气道阻塞病，不伴并发症或合并症
EU19 重大胸部创伤
EV11 呼吸系统症状、体征，伴有严重并发症或合并症
EV13 呼吸系统症状、体征，伴有并发症或合并症
EV15 呼吸系统症状、体征，不伴并发症或合并症
EW11 胸膜病变及胸腔积液，伴有严重并发症或合并症
EW13 胸膜病变及胸腔积液，伴有并发症或合并症
EW15 胸膜病变及胸腔积液，不伴并发症或合并症
EX11 哮喘及喘息性支气管炎，伴有严重并发症或合并症
EX13 哮喘及喘息性支气管炎，伴有并发症或合并症
EX15 哮喘及喘息性支气管炎，不伴并发症或合并症
EX21 百日咳及急性支气管炎，伴有严重并发症或合并症
EX23 百日咳及急性支气管炎，伴有并发症或合并症
EX25 百日咳及急性支气管炎，不伴并发症或合并症
EZ11 其他呼吸系统疾患，伴有严重并发症或合并症
EZ13 其他呼吸系统疾患，伴有并发症或合并症
EZ15 其他呼吸系统疾患，不伴并发症或合并症
FB19 瓣膜手术伴冠脉手术
FB29 心脏瓣膜手术
FC19 冠状动脉手术
FD19 先天性心脏病复杂手术
FD2A 先天性心脏病常规手术，伴严重或一般并发症与合并症
FD25 先天性心脏病常规手术，不伴并发症或合并症
FD39 先天性心脏病介入治疗
FE19 大血管手术伴介入操作
FE29 大血管手术
FF19 大隐静脉和小隐静脉手术
FF29 外周血管手术伴介入操作
FF31 外周血管（除大隐静脉外）其他的手术，伴有严重并发症或合并症
FF33 外周血管（除大隐静脉外）其他的手术，伴有并发症或合并症
FF35 外周血管（除大隐静脉外）其他的手术，不伴并发症或合并症
FJ19 循环系统其他手术
FK19 伴急性心肌梗塞/心衰/休克的心脏除颤器及心室同步
