A00.000 霍乱，由于O1群霍乱弧菌，霍乱生物型所致
A00.000x001 古典生物型霍乱
A00.100 霍乱，由于O1群霍乱弧菌，埃尔托生物型所致
A00.100x001 埃尔托生物型霍乱
A00.900 霍乱
A00.900x002 霍乱轻型
A00.900x003 霍乱中型
A00.900x004 霍乱重型
A00.900x005 霍乱暴发型
A01.000 伤寒
A01.000x004 伤寒复发
A01.000x005+J17.0* 伤寒并发肺炎
A01.000x006 伤寒迁延型
A01.000x007 伤寒逍遥型
A01.000x008 伤寒并发腹膜炎
A01.000x009 伤寒并发肠穿孔
A01.000x010 伤寒并发肠出血
A01.000x011 伤寒并发中毒性肝炎
A01.000x012 伤寒并发支气管炎
A01.000x014 伤寒并发胆囊炎
A01.000x016+I41.0* 伤寒并发中毒性心肌炎
A01.000x017 伤寒轻型
A01.000x018 伤寒普通型
A01.000x019 伤寒暴发型
A01.000x020 伤寒再燃
A01.001+K77.0* 伤寒性肝炎
A01.002+G01* 伤寒性脑膜炎
A01.003 伤寒杆菌性脓毒症
A01.100 副伤寒甲
A01.200 副伤寒乙
A01.300 副伤寒丙
A01.400 副伤寒
A02.000 沙门菌肠炎
A02.000x005 婴儿沙门菌肠炎
A02.000x006 C群沙门菌肠炎
A02.000x007 B群沙门菌肠炎
A02.000x009 沙门菌小肠炎
A02.000x010 猪霍乱沙门菌肠炎
A02.001 阿哥拉沙门菌肠炎
A02.002 沙门菌伦敦血清型肠炎
A02.003 沙门菌胃肠炎
A02.004 鼠伤寒沙门菌肠炎
A02.100 沙门菌脓毒症
A02.100x002 鼠伤寒沙门菌脓毒症
A02.101 猪霍乱沙门菌脓毒症
A02.200 局限性沙门菌感染
A02.201+J17.0* 沙门菌肺炎
A02.202+M01.3* 沙门菌关节炎
A02.203+G01* 沙门菌脑膜炎
A02.204+M90.2* 沙门菌骨髓炎
A02.205+N16.0* 沙门菌性肾小管-间质病变
A02.800 沙门菌感染，其他特指的
A02.900 沙门菌感染
A02.900x002 鼠伤寒沙门菌感染
A02.900x003 沙门菌属食物中毒
A02.900x004 亚利桑那菌感染
A02.901 猪霍乱沙门菌感染
A03.000 志贺痢疾杆菌引起的细菌性痢疾
A03.000x001 痢疾志贺菌痢疾
A03.100 弗氏志贺菌引起的细菌性痢疾
A03.100x001 福氏志贺菌痢疾
A03.200 波氏志贺菌引起的细菌性痢疾
A03.200x001 鲍氏志贺菌痢疾
A03.300 宋内志贺菌引起的细菌性痢疾
A03.300x001 宋内志贺菌痢疾
A03.800 细菌性痢疾，其他的
A03.800x001 不定型志贺菌痢疾
A03.800x002 菌痢混合感染
A03.900 细菌性痢疾
A03.900x002 慢性细菌性痢疾急性发作
A03.900x005 慢性隐匿型菌痢
A03.900x007 中毒型菌痢休克型
A03.900x008 中毒型菌痢脑型
A03.900x009 中毒型菌痢混合型
A03.901 急性细菌性痢疾
A03.902 慢性迁延型细菌性痢疾
A03.903 慢性细菌性痢疾
A03.904 中毒型细菌性痢疾
A04.000 肠道病原性大肠杆菌感染
A04.000x001 新生儿肠致病性大肠杆菌肠炎
A04.000x002 肠致病性大肠杆菌肠炎
A04.100 肠毒性大肠杆菌感染
A04.100x001 肠毒性大肠杆菌肠炎
A04.100x002 新生儿肠毒性大肠杆菌肠炎
A04.200 肠侵袭性大肠杆菌感染
A04.200x001 肠侵袭性大肠杆菌肠炎
A04.200x002 新生儿肠侵袭性大肠杆菌肠炎
A04.300 肠出血性大肠杆菌感染
A04.300x001 肠出血性大肠杆菌肠炎
A04.301 新生儿肠出血性大肠杆菌肠炎
A04.400 肠道大肠杆菌感染，其他的
A04.400x003 新生儿肠粘附性大肠杆菌肠炎
A04.400x004 肠粘附性大肠杆菌肠炎
A04.401 大肠杆菌性肠炎
A04.402 新生儿大肠杆菌肠炎
A04.500 弯曲菌肠炎
A04.600 小肠结肠耶尔森菌性小肠炎
A04.600x001 耶尔森菌肠炎
A04.700 艰难梭状芽孢杆菌性小肠结肠炎
A04.700x002 抗生素相关性肠炎
A04.701 艰难梭状芽孢杆菌性食物中毒
A04.702 伪膜性结肠炎
A04.800 细菌性肠道感染，其他特指的
A04.800x001 吡邻单胞菌肠炎
A04.800x003 产气杆菌肠炎
A04.800x006 副溶血弧菌肠炎
A04.800x007 金黄色葡萄球菌肠炎
A04.800x010 嗜水气单胞菌肠炎
A04.801 变形杆菌肠炎
A04.802 铜绿假单胞菌肠炎
A04.803 厌氧菌肠炎
A04.900 细菌性肠道感染
A04.901 细菌性结肠炎
A04.902 细菌性腹泻
A05.000 食物媒介的葡萄球菌性食物中毒
A05.000x001 葡萄球菌食物中毒
A05.100 肉毒中毒
A05.200 食物媒介的产气荚膜梭状芽孢杆菌［韦尔希梭状芽孢杆菌］食物中毒
A05.200x002 急性出血性坏死性肠炎
A05.202 急性坏死性肠炎
A05.300 食物媒介的副溶血性弧菌食物中毒
A05.300x001 副溶血性弧菌食物中毒
A05.400 食物媒介的蜡样芽孢杆菌食物中毒
A05.400x001 蜡样芽胞杆菌食物中毒
A05.800 食物中毒，其他特指的细菌性
A05.900 细菌性食物中毒
A06.000 急性阿米巴痢疾
A06.000x001 阿米巴肠炎
A06.001 阿米巴结肠炎
A06.002 阿米巴痢疾
A06.100 慢性肠阿米巴病
A06.100x002 阿米巴肠溃疡
A06.200 阿米巴非痢疾性结肠炎
A06.200x001 非痢疾性阿米巴结肠炎
A06.300 肠道阿米巴瘤
A06.300x001 阿米巴肉芽肿
A06.400+K77.0* 阿米巴肝脓肿
A06.500+J99.8* 阿米巴肺脓肿
A06.500x002+J99.8* 肺阿米巴病[阿米巴肺脓肿]
A06.501+J99.8* 阿米巴肝肺脓肿
A06.502+J17.3* 阿米巴肝肾囊肿伴肺炎
A06.600+G07* 阿米巴脑脓肿
A06.700 皮肤阿米巴病
A06.800 阿米巴感染，其他部位的
A06.800x001 阿米巴膀胱炎
A06.800x002 阿米巴阑尾炎
A06.800x003 阿米巴精囊炎
A06.800x004+N51.2* 阿米巴龟头炎
A06.801 眼阿米巴病
A06.900 阿米巴病
A07.000 小袋纤毛虫病
A07.100 贾第虫病[兰伯鞭毛虫病]
A07.200 隐孢子虫病
A07.300 等孢球虫病
A07.300x002 肠道球虫病
A07.800 原虫性肠道疾病，其他特指的
A07.800x002 肉孢子虫病
A07.801 肠道滴虫病
A07.900 原虫性肠道疾病
A07.900x001 肠道原虫感染
A08.000 轮状病毒性肠炎
A08.100 诺如病毒引起的急性胃肠病
A08.100x001 诺如病毒性肠炎
A08.101 诺如病毒性急性胃肠病
A08.200 腺病毒性肠炎
A08.300 病毒性肠炎，其他的
A08.301 EB病毒性肠炎
A08.400 病毒性肠道感染
A08.400x003 病毒性小肠炎
A08.401 病毒性肠炎
A08.402 病毒性胃肠炎
A08.500 肠道感染，其他特指的
A09.000 传染性病因的胃肠炎和结肠炎，其他和未特指的
A09.000x001 肠道感染
A09.000x003 流行性肠炎
A09.000x006 出血性结肠炎
A09.001 感染性胃肠炎
A09.002 感染性结肠炎
A09.003 痢疾
A09.004 感染性腹泻
A09.005 脓毒性肠炎
A09.006 急性出血性肠炎
A09.007 急性感染性肠炎
A09.900 胃肠炎和结肠炎
A09.900x003 急性肠炎
A09.900x004 急性小肠炎
A09.900x005 新生儿腹泻
A09.900x006 肠炎
A09.900x007 腹泻
A09.901 胃肠炎
A09.902 结肠炎
A09.903 婴儿腹泻
A09.904 出血性肠炎
A15.000 肺结核，经显微镜下痰检查证实，伴有或不伴有痰培养
A15.000x001 肺结核（显微镜检证实）
A15.000x002 肺结核（仅痰涂片证实）
A15.000x003 肺结核（痰涂片及培养均证实）
A15.000x010 继发性肺结核（初治,单耐药）涂阳培阳
A15.000x012 继发性肺结核（初治,多耐药）涂阳培阳
A15.000x014 继发性肺结核（初治,广泛耐药）涂阳培阳
A15.000x016 继发性肺结核（初治,耐多药）涂阳培阳
A15.000x018 继发性肺结核（初治,药物敏感）涂阳培阳
A15.000x020 继发性肺结核（复治,单耐药）涂阳培阳
A15.000x022 继发性肺结核（复治,多耐药）涂阳培阳
A15.000x024 继发性肺结核（复治,广泛耐药）涂阳培阳
A15.000x026 继发性肺结核（复治,耐多药）涂阳培阳
A15.000x028 继发性肺结核（复治,药物敏感）涂阳培阳
A15.001 肺结核瘤，痰镜检（+）
A15.002 肺干酪性结核，痰镜检（+）
A15.003 结核性肺纤维变性，痰镜检（+）
A15.004 结核性肺炎，痰镜检（+）
A15.005 结核性气胸，痰镜检（+）
A15.006 结核性支气管扩张，痰镜检（+）
A15.007 空洞型肺结核，痰镜检（+）
A15.100 肺结核，仅经痰培养所证实
A15.100x001 肺结核（仅痰培养证实）
A15.100x002 继发性肺结核（初治,单耐药）涂阴培阳
A15.100x003 继发性肺结核（初治,多耐药）涂阴培阳
A15.100x004 继发性肺结核（初治,广泛耐药）涂阴培阳
A15.100x005 继发性肺结核（初治,耐多药）涂阴培阳
A15.100x006 继发性肺结核（初治,药物敏感）涂阴培阳
A15.100x007 继发性肺结核（复治,单耐药）涂阴培阳
A15.100x008 继发性肺结核（复治,多耐药）涂阴培阳
A15.100x009 继发性肺结核（复治,广泛耐药）涂阴培阳
A15.100x010 继发性肺结核（复治,耐多药）涂阴培阳
A15.100x011 继发性肺结核（复治,药物敏感）涂阴培阳
