AA19 心脏移植
AB19 肝移植
AE19 肾移植
AF19 肺移植
AG19 异体骨髓/造血干细胞移植
AG29 自体骨髓/造血干细胞移植
AH11 气管切开伴呼吸机支持≥96小时或ECMO,伴有严重并发症与合并症
AH1B 气管切开伴呼吸机支持≥96小时或ECMO,不伴严重并发症与合并症
BB11 脑创伤开颅术，伴有严重并发症与合并症
BB1B 脑创伤开颅术，不伴严重并发症与合并症
BB21 除创伤之外的其他开颅术，伴有严重并发症与合并症
BB23 除创伤之外的其他开颅术，伴有一般并发症与合并症
BB25 除创伤之外的其他开颅术，不伴有并发症与合并症
BC19 伴出血诊断的颅内血管手术
BC29 脑室分流及翻修手术
BD11 脊髓手术，伴有严重并发症与合并症
BD1B 脊髓手术，不伴严重并发症与合并症
BD29 神经刺激器植入或去除术
BE19 颈及脑血管手术
BE29 脑血管介入治疗
BJ11 神经系统其他手术，伴有严重并发症与合并症
BJ1B 神经系统其他手术，不伴严重并发症与合并症
BL19 脑血管病溶栓治疗
BM1A 脑血管介入检査术，伴有严重或一般并发症与合并症
BM15 脑血管介入检查术，不伴有并发症与合并症
BR11 颅内出血性疾患，伴有严重并发症与合并症
BR13 颅内出血性疾患，伴有一般并发症与合并症
BR15 颅内岀血性疾患，不伴有并发症与合并症
BR21 脑缺血性疾患，伴有严重并发症与合并症
BR23 脑缺血性疾患，伴有一般并发症与合并症
BR25 脑缺血性疾患，不伴有并发症与合并症
BS11 非创伤性意识障碍，伴有严重并发症与合并症
BS1B 非创伤性意识障碍，不伴严重并发症与合并症
BT1A 病毒性脑、脊髓和脑膜炎，伴有严重或一般并发症与合并症
BT15 病毒性脑、脊髓和脑膜炎，不伴有并发症与合并症
BT21 神经系统的其他感染，伴有严重并发症与合并症
BT23 神经系统的其他感染，伴有一般并发症与合并症
BT25 神经系统的其他感染，不伴有并发症与合并症
BU11 神经系统肿瘤，伴有严重并发症与合并症
BU13 神经系统肿瘤，伴有一般并发症与合并症
BU15 神经系统肿瘤，不伴有并发症与合并症
BU21 神经系统变性疾患，伴有严重并发症与合并症
BU23 神经系统变性疾患，伴有一般并发症与合并症
BU25 神经系统变性疾患，不伴有并发症与合并症
BU39 脱髓鞘病及小脑共济失调
BV11 癫痫病，伴有严重并发症与合并症
BV13 癫痫病，伴有一般并发症与合并症
BV15 癫痫病，不伴有并发症与合并症
BV21 神经源性肌肉病，伴有严重并发症与合并症
BV23 神经源性肌肉病，伴有一般并发症与合并症
BV25 神经源性肌肉病，不伴有并发症与合并症
BV39 头痛
BW19 神经系统先天性疾患
BW2A 脑性麻痹，伴有严重或一般并发症与合并症
BW25 脑性麻痹，不伴有并发症与合并症
BX11 大脑功能失调，伴有严重并发症与合并症
BX13 大脑功能失调，伴有一般并发症与合并症
BX15 大脑功能失调，不伴有并发症与合并症
BX29 颅神经/周围神经疾患
BY19 颅脑开放性损伤
BY21 颅脑闭合性损伤，伴有严重并发症与合并症
BY23 颅脑闭合性损伤，伴有一般并发症与合并症
